                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.7575,                 6.4052,                 4.1461,                0.00038,                0.03157,                0.00046,                0.00014,                 5.5299,                 5.4509,                 3.5563,              0.0033135,              0.0033135,              0.0033135
                      2,                 2.8426,                 2.4692,                 2.2779,                 0.4965,                 0.3558,                0.36339,                0.12756,                 2.3271,                 1.6608,                 1.6865,               0.006603,               0.006603,               0.006603
                      3,                 2.1831,                  1.595,                 1.6938,                0.61412,                 0.4375,                0.47257,                0.18095,                 2.1819,                 1.7614,                 1.5648,              0.0098484,              0.0098484,              0.0098484
                      4,                 1.9636,                  1.346,                 1.5223,                0.70505,                0.55681,                0.60632,                 0.2659,                 1.9166,                 1.5038,                 1.4153,               0.009802,               0.009802,               0.009802
                      5,                 1.7638,                 1.1269,                  1.403,                 0.7865,                0.64592,                0.71575,                0.32991,                 1.7501,                 1.2192,                 1.3229,               0.009802,               0.009802,               0.009802
                      6,                 1.6659,                 1.0238,                 1.3502,                0.80556,                 0.6698,                0.74343,                0.34744,                 1.7448,                0.99247,                 1.3275,               0.009736,               0.009736,               0.009736
                      7,                 1.5969,                0.94372,                 1.3034,                0.83911,                0.70883,                0.78245,                0.39072,                 1.6162,                0.98709,                 1.2752,                0.00967,                0.00967,                0.00967
                      8,                  1.533,                0.89363,                 1.2728,                0.82818,                 0.7468,                0.80801,                0.41717,                 1.5729,                0.94388,                 1.2547,               0.009604,               0.009604,               0.009604
                      9,                 1.4906,                0.83946,                  1.253,                0.84796,                0.73163,                0.80882,                0.40545,                 1.5958,                0.82788,                 1.2679,               0.009538,               0.009538,               0.009538
                     10,                 1.4706,                0.82718,                 1.2493,                0.85411,                0.75306,                0.81959,                0.41484,                 1.5853,                0.80885,                 1.2464,               0.009472,               0.009472,               0.009472
                     11,                 1.4247,                0.79039,                 1.2201,                0.83811,                0.71736,                0.78547,                0.40163,                 1.6011,                0.83973,                 1.2634,               0.009406,               0.009406,               0.009406
                     12,                  1.412,                0.76822,                 1.2131,                0.85784,                0.75817,                 0.8384,                 0.4399,                  1.494,                0.79396,                 1.2127,                0.00934,                0.00934,                0.00934
                     13,                 1.3808,                0.74605,                  1.206,                0.87144,                0.75763,                0.84518,                 0.4431,                 1.5266,                0.77422,                 1.2256,               0.009274,               0.009274,               0.009274
                     14,                  1.369,                0.73382,                 1.1934,                0.86495,                0.77496,                0.84303,                0.44103,                 1.5328,                0.79621,                 1.2422,               0.009208,               0.009208,               0.009208
                     15,                 1.3473,                0.71307,                 1.1862,                0.87399,                0.73379,                0.82573,                0.43054,                 1.5482,                0.78662,                 1.2474,               0.009142,               0.009142,               0.009142
                     16,                 1.3245,                0.70431,                 1.1774,                0.87082,                0.75661,                0.83363,                0.44193,                  1.498,                 0.7446,                 1.2268,               0.009076,               0.009076,               0.009076
                     17,                 1.3095,                0.68073,                 1.1689,                 0.8632,                0.78738,                0.85944,                0.47352,                 1.4349,                0.72779,                 1.1965,                0.00901,                0.00901,                0.00901
                     18,                 1.3072,                0.67302,                 1.1653,                0.85035,                0.78328,                0.84405,                0.44846,                  1.497,                0.82917,                 1.2277,               0.008944,               0.008944,               0.008944
                     19,                 1.2807,                0.65685,                 1.1528,                0.88012,                 0.7756,                0.85492,                0.45435,                 1.4786,                0.73991,                 1.2326,               0.008878,               0.008878,               0.008878
                     20,                 1.2714,                0.65407,                 1.1514,                0.89139,                0.80182,                0.86895,                0.47309,                 1.4465,                0.68936,                 1.2077,               0.008812,               0.008812,               0.008812
                     21,                 1.2556,                0.63979,                 1.1451,                0.87007,                0.80482,                0.86884,                0.47187,                 1.4416,                0.68562,                 1.2038,               0.008746,               0.008746,               0.008746
                     22,                 1.2491,                0.63641,                 1.1365,                0.85901,                0.80994,                0.86454,                0.46047,                 1.4801,                0.73914,                 1.2173,                0.00868,                0.00868,                0.00868
                     23,                  1.236,                 0.6257,                 1.1386,                0.86907,                0.80055,                0.86307,                0.48086,                 1.4266,                0.67602,                 1.2019,               0.008614,               0.008614,               0.008614
                     24,                 1.2292,                0.61784,                 1.1366,                0.86638,                0.77794,                0.85875,                0.45854,                 1.4877,                0.71033,                 1.2246,               0.008548,               0.008548,               0.008548
                     25,                 1.2224,                0.61359,                 1.1315,                0.87183,                0.78496,                0.86313,                0.47445,                 1.4518,                0.70872,                 1.2157,               0.008482,               0.008482,               0.008482
                     26,                 1.2161,                0.61377,                 1.1311,                0.86396,                0.78754,                0.85885,                0.47512,                 1.4282,                0.69364,                 1.2075,               0.008416,               0.008416,               0.008416
                     27,                 1.2031,                0.59807,                 1.1197,                 0.8855,                0.79352,                0.87016,                0.48894,                 1.4355,                0.67903,                 1.2085,                0.00835,                0.00835,                0.00835
                     28,                 1.1918,                0.58846,                 1.1138,                 0.8895,                0.80019,                0.87153,                0.48029,                   1.44,                0.68068,                 1.2158,               0.008284,               0.008284,               0.008284
                     29,                 1.1844,                0.58688,                 1.1105,                0.87993,                0.80119,                0.87134,                0.47992,                 1.4316,                0.66981,                 1.2176,               0.008218,               0.008218,               0.008218
                     30,                 1.1772,                0.57803,                 1.1088,                0.87511,                0.80113,                0.87015,                0.46989,                  1.461,                0.68042,                 1.2292,               0.008152,               0.008152,               0.008152
                     31,                 1.1705,                0.57283,                 1.1029,                0.88619,                0.79396,                0.86869,                0.47572,                 1.4425,                0.68938,                 1.2148,               0.008086,               0.008086,               0.008086
